name,ID,award,year,lgID,note
Jack Adams,adamsja01,Patrick,1965,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
Gordie Howe,howego01,Patrick,1966,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Bobby Hull,hullbo01,Patrick,1968,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Eddie Shore,shoreed01,Patrick,1969,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
John B. Sollenberger,,Patrick,1970,NHL,posthumous
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
William Jennings,jenniwi01h,Patrick,1970,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Charles L. Crovat,,Patrick,1973,NHL,posthumous
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Donald Clark,,Patrick,1974,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
George Leader,,Patrick,1975,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
John Bucyk,bucykjo01,Patrick,1976,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Tom Fitzgerald,,Patrick,1977,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Charles M. Schulz,,Patrick,1980,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
John MacInnes,,Patrick,1985,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Fred Cusick,,Patrick,1987,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Lou Nanne,nannelo01,Patrick,1988,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
Len Ceglarski,,Patrick,1989,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Art Berglund,,Patrick,1991,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Bruce McNall,,Patrick,1992,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Gil Stein,,Patrick,1992,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Robert Ridder,,Patrick,1993,NHL,
Wayne Gretzky,gretzwa01,Patrick,1993,NHL,
Bob Fleming,,Patrick,1994,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Joe Mullen,mullejo01,Patrick,1994,NHL,
George Gund,,Patrick,1995,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Bill Cleary,,Patrick,1996,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
John Mayasich,,Patrick,1997,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Neal Broten,brotene01,Patrick,1997,NHL,
Peter Karmanos,,Patrick,1997,NHL,
1998 U.S. Olympic Women's Hockey Team,,Patrick,1998,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Lou Vairo,,Patrick,1999,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
David Poile,,Patrick,2000,NHL,
Gary Bettman,,Patrick,2000,NHL,
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
1960 U.S. Olympic Hockey Team,,Patrick,2001,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Mike Emrick,,Patrick,2003,NHL,
Ray Miron,,Patrick,2003,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Stan Fischler,,Patrick,2006,NHL,
Cammi Granato,,Patrick,2006,NHL,
John Halligan,,Patrick,2006,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Brian Burke,,Patrick,2007,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Bob Naegele,,Patrick,2007,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Jim Devellano,,Patrick,2008,NHL,
Dave Andrews,,Patrick,2009,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
Jack Parker,,Patrick,2009,NHL,
Jerry York,,Patrick,2009,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Tony Rossi,,Patrick,2010,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Bob Chase-Wallenstein,,Patrick,2011,NHL,
Dick Patrick,,Patrick,2011,NHL,
Kevin Allen,,Patrick,2012,NHL,
Bill Daly,,Patrick,2013,NHL,
Paul Holmgren,holmgpa01,Patrick,2013,NHL,
Jeremy Jacobs,,Patrick,2014,NHL,
Bob Crocker,,Patrick,2014,NHL,
Mark Howe,howema01,Patrick,2015,NHL,
Patrick J. Kelly,,Patrick,2015,NHL,
Don Maloney,malondo01,GM,2009,NHL,
Mike Gillis,gillimi01,GM,2010,NHL,
Doug Armstrong,,GM,2011,NHL,
Ray Shero,,GM,2012,NHL,
Bob Murray,murrabo02,GM,2013,NHL,
Steve Yzerman,yzermst01,GM,2014,NHL,
Jim Rutherford,rutheji01,GM,2015,NHL,
David Poile,,GM,2016,NHL,
